Iter 1/500 | Policy Loss: 2.3942 | Value Loss: 1.0031
Iter 2/500 | Policy Loss: 1.9821 | Value Loss: 0.9921
Iter 3/500 | Policy Loss: 1.9841 | Value Loss: 0.9860
Iter 4/500 | Policy Loss: 1.9293 | Value Loss: 0.9857
Iter 5/500 | Policy Loss: 1.9504 | Value Loss: 0.9926
Iter 6/500 | Policy Loss: 1.9759 | Value Loss: 0.9832
Iter 7/500 | Policy Loss: 1.8508 | Value Loss: 0.9857
Iter 8/500 | Policy Loss: 1.9568 | Value Loss: 0.9863
Iter 9/500 | Policy Loss: 1.9381 | Value Loss: 0.9831
Iter 10/500 | Policy Loss: 1.8628 | Value Loss: 0.9728
Iter 11/500 | Policy Loss: 1.9133 | Value Loss: 0.9718
Iter 12/500 | Policy Loss: 1.9714 | Value Loss: 0.9536
Iter 13/500 | Policy Loss: 1.9859 | Value Loss: 0.9389
Iter 14/500 | Policy Loss: 1.7960 | Value Loss: 0.9353
Iter 15/500 | Policy Loss: 1.9130 | Value Loss: 0.9188
Iter 16/500 | Policy Loss: 1.8130 | Value Loss: 0.9160
Iter 17/500 | Policy Loss: 1.7941 | Value Loss: 0.9106
Iter 18/500 | Policy Loss: 1.8407 | Value Loss: 0.9019
Iter 19/500 | Policy Loss: 1.8952 | Value Loss: 0.8815
Iter 20/500 | Policy Loss: 1.8688 | Value Loss: 0.8836
Iter 21/500 | Policy Loss: 1.8971 | Value Loss: 0.8834
Iter 22/500 | Policy Loss: 1.8250 | Value Loss: 0.8819
Iter 23/500 | Policy Loss: 1.8978 | Value Loss: 0.8678
Iter 24/500 | Policy Loss: 1.8980 | Value Loss: 0.8708
Iter 25/500 | Policy Loss: 1.8406 | Value Loss: 0.8557
Iter 26/500 | Policy Loss: 1.9200 | Value Loss: 0.8534
Iter 27/500 | Policy Loss: 1.8730 | Value Loss: 0.8657
Iter 28/500 | Policy Loss: 1.8843 | Value Loss: 0.8461
Iter 29/500 | Policy Loss: 1.8980 | Value Loss: 0.8427
Iter 30/500 | Policy Loss: 1.8176 | Value Loss: 0.8567
