Iter 1/500 | Policy Loss: 2.3488 | Value Loss: 0.9999
Iter 2/500 | Policy Loss: 1.9582 | Value Loss: 0.9909
Iter 3/500 | Policy Loss: 1.9820 | Value Loss: 0.9860
Iter 4/500 | Policy Loss: 1.8988 | Value Loss: 0.9807
Iter 5/500 | Policy Loss: 1.9118 | Value Loss: 0.9760
Iter 6/500 | Policy Loss: 1.9941 | Value Loss: 0.9611
Iter 7/500 | Policy Loss: 1.8677 | Value Loss: 0.9271
Iter 8/500 | Policy Loss: 1.9065 | Value Loss: 0.9112
Iter 9/500 | Policy Loss: 1.9673 | Value Loss: 0.8864
Iter 10/500 | Policy Loss: 1.8979 | Value Loss: 0.8663
Iter 11/500 | Policy Loss: 1.8887 | Value Loss: 0.8414
Iter 12/500 | Policy Loss: 1.9357 | Value Loss: 0.8178
Iter 13/500 | Policy Loss: 1.9004 | Value Loss: 0.7907
Iter 14/500 | Policy Loss: 1.7792 | Value Loss: 0.7901
Iter 15/500 | Policy Loss: 1.8386 | Value Loss: 0.7974
Iter 16/500 | Policy Loss: 1.7766 | Value Loss: 0.7801
Iter 17/500 | Policy Loss: 1.7741 | Value Loss: 0.7398
Iter 18/500 | Policy Loss: 1.7841 | Value Loss: 0.7697
Iter 19/500 | Policy Loss: 1.8411 | Value Loss: 0.7476
Iter 20/500 | Policy Loss: 1.8091 | Value Loss: 0.7283
Iter 21/500 | Policy Loss: 1.7930 | Value Loss: 0.7266
Iter 22/500 | Policy Loss: 1.7664 | Value Loss: 0.7310
Iter 23/500 | Policy Loss: 1.7922 | Value Loss: 0.7509
Iter 24/500 | Policy Loss: 1.8733 | Value Loss: 0.7263
Iter 25/500 | Policy Loss: 1.8127 | Value Loss: 0.7216
Iter 26/500 | Policy Loss: 1.8267 | Value Loss: 0.7329
Iter 27/500 | Policy Loss: 1.7813 | Value Loss: 0.7152
Iter 28/500 | Policy Loss: 1.8175 | Value Loss: 0.7291
Iter 29/500 | Policy Loss: 1.8270 | Value Loss: 0.7468
Iter 30/500 | Policy Loss: 1.7323 | Value Loss: 0.6936
Iter 31/500 | Policy Loss: 1.8146 | Value Loss: 0.7061
Iter 32/500 | Policy Loss: 1.7185 | Value Loss: 0.7179
Iter 33/500 | Policy Loss: 1.8070 | Value Loss: 0.7198
Iter 34/500 | Policy Loss: 1.8042 | Value Loss: 0.7087
Iter 35/500 | Policy Loss: 1.7860 | Value Loss: 0.7114
Iter 36/500 | Policy Loss: 1.7405 | Value Loss: 0.7082
Iter 37/500 | Policy Loss: 1.7517 | Value Loss: 0.7116
Iter 38/500 | Policy Loss: 1.7422 | Value Loss: 0.6673
Iter 39/500 | Policy Loss: 1.7267 | Value Loss: 0.7106
Iter 40/500 | Policy Loss: 1.8247 | Value Loss: 0.6844
Iter 41/500 | Policy Loss: 1.7770 | Value Loss: 0.6493
Iter 42/500 | Policy Loss: 1.7511 | Value Loss: 0.6966
Iter 43/500 | Policy Loss: 1.6932 | Value Loss: 0.6850
Iter 44/500 | Policy Loss: 1.7283 | Value Loss: 0.6956
Iter 45/500 | Policy Loss: 1.7351 | Value Loss: 0.6757
Iter 46/500 | Policy Loss: 1.7038 | Value Loss: 0.6632
Iter 47/500 | Policy Loss: 1.8360 | Value Loss: 0.7130
Iter 48/500 | Policy Loss: 1.7661 | Value Loss: 0.7005
Iter 49/500 | Policy Loss: 1.7419 | Value Loss: 0.7022
Iter 50/500 | Policy Loss: 1.7868 | Value Loss: 0.6870
Iter 51/500 | Policy Loss: 1.7641 | Value Loss: 0.7225
Iter 52/500 | Policy Loss: 1.7784 | Value Loss: 0.7114
Iter 53/500 | Policy Loss: 1.7527 | Value Loss: 0.7061
Iter 54/500 | Policy Loss: 1.7661 | Value Loss: 0.6922
Iter 55/500 | Policy Loss: 1.7349 | Value Loss: 0.7092
Iter 56/500 | Policy Loss: 1.7221 | Value Loss: 0.6850
Iter 57/500 | Policy Loss: 1.7169 | Value Loss: 0.7286
Iter 58/500 | Policy Loss: 1.7738 | Value Loss: 0.6921
Iter 59/500 | Policy Loss: 1.7888 | Value Loss: 0.6923
Iter 60/500 | Policy Loss: 1.8004 | Value Loss: 0.6909
Iter 61/500 | Policy Loss: 1.7589 | Value Loss: 0.7120
Iter 62/500 | Policy Loss: 1.7168 | Value Loss: 0.6634
Iter 63/500 | Policy Loss: 1.7714 | Value Loss: 0.6917
Iter 64/500 | Policy Loss: 1.7596 | Value Loss: 0.6677
Iter 65/500 | Policy Loss: 1.7458 | Value Loss: 0.7218
Iter 66/500 | Policy Loss: 1.7497 | Value Loss: 0.6876
Iter 67/500 | Policy Loss: 1.7958 | Value Loss: 0.7058
Iter 68/500 | Policy Loss: 1.7608 | Value Loss: 0.6812
Iter 69/500 | Policy Loss: 1.7940 | Value Loss: 0.6536
Iter 70/500 | Policy Loss: 1.7606 | Value Loss: 0.7120
Iter 71/500 | Policy Loss: 1.7404 | Value Loss: 0.7147
Iter 72/500 | Policy Loss: 1.6796 | Value Loss: 0.6958
Iter 73/500 | Policy Loss: 1.7623 | Value Loss: 0.6784
Iter 74/500 | Policy Loss: 1.7216 | Value Loss: 0.6631
Iter 75/500 | Policy Loss: 1.7458 | Value Loss: 0.7118
Iter 76/500 | Policy Loss: 1.7336 | Value Loss: 0.6594
Iter 77/500 | Policy Loss: 1.7654 | Value Loss: 0.6951
Iter 78/500 | Policy Loss: 1.7899 | Value Loss: 0.6709
Iter 79/500 | Policy Loss: 1.7009 | Value Loss: 0.7152
Iter 80/500 | Policy Loss: 1.7549 | Value Loss: 0.7023
Iter 81/500 | Policy Loss: 1.7076 | Value Loss: 0.6637
Iter 82/500 | Policy Loss: 1.7571 | Value Loss: 0.7011
Iter 83/500 | Policy Loss: 1.7810 | Value Loss: 0.6924
Iter 84/500 | Policy Loss: 1.7828 | Value Loss: 0.6875
Iter 85/500 | Policy Loss: 1.7556 | Value Loss: 0.6865
Iter 86/500 | Policy Loss: 1.7866 | Value Loss: 0.6870
Iter 87/500 | Policy Loss: 1.7422 | Value Loss: 0.6877
Iter 88/500 | Policy Loss: 1.7733 | Value Loss: 0.6935
Iter 89/500 | Policy Loss: 1.7245 | Value Loss: 0.6985
Iter 90/500 | Policy Loss: 1.7027 | Value Loss: 0.7289
Iter 91/500 | Policy Loss: 1.7061 | Value Loss: 0.6717
Iter 92/500 | Policy Loss: 1.7572 | Value Loss: 0.7101
Iter 93/500 | Policy Loss: 1.7907 | Value Loss: 0.6692
Iter 94/500 | Policy Loss: 1.7913 | Value Loss: 0.7275
Iter 95/500 | Policy Loss: 1.7402 | Value Loss: 0.6618
Iter 96/500 | Policy Loss: 1.7287 | Value Loss: 0.6710
Iter 97/500 | Policy Loss: 1.7801 | Value Loss: 0.6632
Iter 98/500 | Policy Loss: 1.7403 | Value Loss: 0.6482
Iter 99/500 | Policy Loss: 1.7604 | Value Loss: 0.6859
Iter 100/500 | Policy Loss: 1.7495 | Value Loss: 0.6907
Iter 101/500 | Policy Loss: 1.7125 | Value Loss: 0.6727
Iter 102/500 | Policy Loss: 1.7879 | Value Loss: 0.6702
Iter 103/500 | Policy Loss: 1.7413 | Value Loss: 0.7449
Iter 104/500 | Policy Loss: 1.7463 | Value Loss: 0.6651
Iter 105/500 | Policy Loss: 1.7371 | Value Loss: 0.6973
Iter 106/500 | Policy Loss: 1.7205 | Value Loss: 0.6743
Iter 107/500 | Policy Loss: 1.7304 | Value Loss: 0.6539
Iter 108/500 | Policy Loss: 1.7056 | Value Loss: 0.6736
Iter 109/500 | Policy Loss: 1.7259 | Value Loss: 0.6613
Iter 110/500 | Policy Loss: 1.7339 | Value Loss: 0.6943
Iter 111/500 | Policy Loss: 1.7376 | Value Loss: 0.7100
Iter 112/500 | Policy Loss: 1.7361 | Value Loss: 0.6752
Iter 113/500 | Policy Loss: 1.7438 | Value Loss: 0.6885
Iter 114/500 | Policy Loss: 1.7544 | Value Loss: 0.6509
Iter 115/500 | Policy Loss: 1.6573 | Value Loss: 0.6724
Iter 116/500 | Policy Loss: 1.7235 | Value Loss: 0.6927
Iter 117/500 | Policy Loss: 1.7775 | Value Loss: 0.6700
Iter 118/500 | Policy Loss: 1.7525 | Value Loss: 0.7048
Iter 119/500 | Policy Loss: 1.7325 | Value Loss: 0.7244
Iter 120/500 | Policy Loss: 1.7220 | Value Loss: 0.6710
Iter 121/500 | Policy Loss: 1.7641 | Value Loss: 0.6313
Iter 122/500 | Policy Loss: 1.7362 | Value Loss: 0.6482
Iter 123/500 | Policy Loss: 1.7192 | Value Loss: 0.6968
Iter 124/500 | Policy Loss: 1.7269 | Value Loss: 0.7024
Iter 125/500 | Policy Loss: 1.7408 | Value Loss: 0.6867
Iter 126/500 | Policy Loss: 1.7469 | Value Loss: 0.6923
Iter 127/500 | Policy Loss: 1.7572 | Value Loss: 0.6793
Iter 128/500 | Policy Loss: 1.7361 | Value Loss: 0.6890
Iter 129/500 | Policy Loss: 1.7179 | Value Loss: 0.6911
Iter 130/500 | Policy Loss: 1.6962 | Value Loss: 0.6585
Iter 131/500 | Policy Loss: 1.7157 | Value Loss: 0.6523
Iter 132/500 | Policy Loss: 1.7097 | Value Loss: 0.7020
Iter 133/500 | Policy Loss: 1.7233 | Value Loss: 0.6705
Iter 134/500 | Policy Loss: 1.7287 | Value Loss: 0.6623
Iter 135/500 | Policy Loss: 1.7019 | Value Loss: 0.6753
Iter 136/500 | Policy Loss: 1.7837 | Value Loss: 0.7062
Iter 137/500 | Policy Loss: 1.7492 | Value Loss: 0.6960
Iter 138/500 | Policy Loss: 1.7266 | Value Loss: 0.6896
Iter 139/500 | Policy Loss: 1.7272 | Value Loss: 0.6617
Iter 140/500 | Policy Loss: 1.7271 | Value Loss: 0.6734
Iter 141/500 | Policy Loss: 1.7429 | Value Loss: 0.6776
Iter 142/500 | Policy Loss: 1.7598 | Value Loss: 0.7019
Iter 143/500 | Policy Loss: 1.7736 | Value Loss: 0.6951
Iter 144/500 | Policy Loss: 1.7203 | Value Loss: 0.6832
Iter 145/500 | Policy Loss: 1.7163 | Value Loss: 0.6815
Iter 146/500 | Policy Loss: 1.7434 | Value Loss: 0.6762
Iter 147/500 | Policy Loss: 1.7167 | Value Loss: 0.6755
Iter 148/500 | Policy Loss: 1.6882 | Value Loss: 0.6550
Iter 149/500 | Policy Loss: 1.7099 | Value Loss: 0.6590
Iter 150/500 | Policy Loss: 1.7330 | Value Loss: 0.6787
Iter 151/500 | Policy Loss: 1.6648 | Value Loss: 0.6556
Iter 152/500 | Policy Loss: 1.6662 | Value Loss: 0.6844
Iter 153/500 | Policy Loss: 1.6593 | Value Loss: 0.6763
Iter 154/500 | Policy Loss: 1.6655 | Value Loss: 0.6570
Iter 155/500 | Policy Loss: 1.7012 | Value Loss: 0.6688
Iter 156/500 | Policy Loss: 1.6808 | Value Loss: 0.6892
Iter 157/500 | Policy Loss: 1.7241 | Value Loss: 0.6637
Iter 158/500 | Policy Loss: 1.6903 | Value Loss: 0.6954
Iter 159/500 | Policy Loss: 1.7405 | Value Loss: 0.6458
Iter 160/500 | Policy Loss: 1.7471 | Value Loss: 0.6604
Iter 161/500 | Policy Loss: 1.7493 | Value Loss: 0.6923
Iter 162/500 | Policy Loss: 1.7256 | Value Loss: 0.6721
Iter 163/500 | Policy Loss: 1.7152 | Value Loss: 0.6590
Iter 164/500 | Policy Loss: 1.6946 | Value Loss: 0.6752
Iter 165/500 | Policy Loss: 1.7682 | Value Loss: 0.6615
Iter 166/500 | Policy Loss: 1.7539 | Value Loss: 0.6767
Iter 167/500 | Policy Loss: 1.7340 | Value Loss: 0.6652
Iter 168/500 | Policy Loss: 1.7249 | Value Loss: 0.6690
Iter 169/500 | Policy Loss: 1.7136 | Value Loss: 0.6624
Iter 170/500 | Policy Loss: 1.7719 | Value Loss: 0.6630
Iter 171/500 | Policy Loss: 1.6900 | Value Loss: 0.6801
Iter 172/500 | Policy Loss: 1.7599 | Value Loss: 0.6689
Iter 173/500 | Policy Loss: 1.7471 | Value Loss: 0.6696
Iter 174/500 | Policy Loss: 1.6746 | Value Loss: 0.6656
Iter 175/500 | Policy Loss: 1.6723 | Value Loss: 0.6701
Iter 176/500 | Policy Loss: 1.6996 | Value Loss: 0.6505
Iter 177/500 | Policy Loss: 1.6715 | Value Loss: 0.6528
Iter 178/500 | Policy Loss: 1.6914 | Value Loss: 0.6756
Iter 179/500 | Policy Loss: 1.6944 | Value Loss: 0.6683
Iter 180/500 | Policy Loss: 1.7218 | Value Loss: 0.6313
Iter 181/500 | Policy Loss: 1.6518 | Value Loss: 0.6414
Iter 182/500 | Policy Loss: 1.7471 | Value Loss: 0.6749
Iter 183/500 | Policy Loss: 1.6784 | Value Loss: 0.6746
Iter 184/500 | Policy Loss: 1.6681 | Value Loss: 0.7176
Iter 185/500 | Policy Loss: 1.7192 | Value Loss: 0.6847
Iter 186/500 | Policy Loss: 1.7434 | Value Loss: 0.6496
Iter 187/500 | Policy Loss: 1.7547 | Value Loss: 0.6779
Iter 188/500 | Policy Loss: 1.7764 | Value Loss: 0.6877
Iter 189/500 | Policy Loss: 1.7373 | Value Loss: 0.6715
Iter 190/500 | Policy Loss: 1.7671 | Value Loss: 0.6620
Iter 191/500 | Policy Loss: 1.7309 | Value Loss: 0.6333
Iter 192/500 | Policy Loss: 1.7000 | Value Loss: 0.6330
Iter 193/500 | Policy Loss: 1.7246 | Value Loss: 0.7204
Iter 194/500 | Policy Loss: 1.7219 | Value Loss: 0.6720
Iter 195/500 | Policy Loss: 1.7471 | Value Loss: 0.6493
Iter 196/500 | Policy Loss: 1.7343 | Value Loss: 0.6744
Iter 197/500 | Policy Loss: 1.7395 | Value Loss: 0.6814
Iter 198/500 | Policy Loss: 1.7468 | Value Loss: 0.6958
Iter 199/500 | Policy Loss: 1.7377 | Value Loss: 0.6690
Iter 200/500 | Policy Loss: 1.7177 | Value Loss: 0.6835
Iter 201/500 | Policy Loss: 1.7960 | Value Loss: 0.7157
Iter 202/500 | Policy Loss: 1.7877 | Value Loss: 0.6907
Iter 203/500 | Policy Loss: 1.7824 | Value Loss: 0.6575
Iter 204/500 | Policy Loss: 1.6924 | Value Loss: 0.6671
Iter 205/500 | Policy Loss: 1.6971 | Value Loss: 0.6831
Iter 206/500 | Policy Loss: 1.7170 | Value Loss: 0.6453
Iter 207/500 | Policy Loss: 1.6986 | Value Loss: 0.6525
Iter 208/500 | Policy Loss: 1.7383 | Value Loss: 0.6791
Iter 209/500 | Policy Loss: 1.7030 | Value Loss: 0.6625
